Date,PortfolioValue,Returns
2020-11-03,99938.42130793653,-0.0006157869206347095
2020-11-04,99942.81897486768,-0.0005718102513231861
2020-11-05,99946.79741419874,-0.0005320258580126392
2020-11-06,99946.30412844963,-0.0005369587155037152
2020-11-09,99946.30412844963,-0.0005369587155037152
2020-11-10,99946.30412844963,-0.0005369587155037152
2020-11-11,99946.30412844963,-0.0005369587155037152
2020-11-12,99946.30412844963,-0.0005369587155037152
2020-11-13,99946.30412844963,-0.0005369587155037152
2020-11-16,99946.30412844963,-0.0005369587155037152
2020-11-17,99946.30412844963,-0.0005369587155037152
2020-11-18,99946.30412844963,-0.0005369587155037152
2020-11-19,99946.30412844963,-0.0005369587155037152
2020-11-20,99946.30412844963,-0.0005369587155037152
2020-11-23,99946.30412844963,-0.0005369587155037152
2020-11-24,99946.30412844963,-0.0005369587155037152
2020-11-25,99946.30412844963,-0.0005369587155037152
2020-11-27,99946.30412844963,-0.0005369587155037152
2020-11-30,99946.30412844963,-0.0005369587155037152
2020-12-01,99946.30412844963,-0.0005369587155037152
2020-12-02,99945.26873546632,-0.0005473126453367877
2020-12-03,99945.4054847339,-0.0005459451526610064
2020-12-04,99946.07947307618,-0.0005392052692381548
2020-12-07,99944.61429363283,-0.0005538570636717486
2020-12-08,99943.99892955812,-0.000560010704418819
2020-12-09,99946.53854900392,-0.0005346145099608111
2020-12-10,99945.11246257814,-0.0005488753742186236
2020-12-11,99945.92318492921,-0.0005407681507078815
2020-12-14,99946.53854900392,-0.0005346145099608111
2020-12-15,99940.58019023927,-0.0005941980976072955
2020-12-16,99940.64854961427,-0.0005935145038572955
2020-12-17,99939.7792335132,-0.0006022076648680377
2020-12-18,99941.77187877687,-0.0005822812122313189
2020-12-21,99940.23830944093,-0.0005976169055906939
2020-12-22,99936.67309337648,-0.0006332690662352252
2020-12-23,99937.57167583497,-0.0006242832416502643
2020-12-24,99936.58515697511,-0.000634148430248897
2020-12-28,99931.97475963624,-0.0006802524036375689
2020-12-29,99933.75250011476,-0.0006624749988524127
2020-12-30,99934.8757758716,-0.0006512422412840533
2020-12-31,99935.88187938722,-0.0006411812061278033
2021-01-04,99939.0857291797,-0.0006091427082029986
2021-01-05,99937.52285533937,-0.000624771446606319
2021-01-06,99941.83048015626,-0.0005816951984373736
2021-01-07,99940.1113260943,-0.0005988867390570522
2021-01-08,99940.1113260943,-0.0005988867390570522
2021-01-11,99940.1113260943,-0.0005988867390570522
2021-01-12,99940.1113260943,-0.0005988867390570522
2021-01-13,99940.1113260943,-0.0005988867390570522
2021-01-14,99940.1113260943,-0.0005988867390570522
2021-01-15,99940.1113260943,-0.0005988867390570522
2021-01-19,99940.1113260943,-0.0005988867390570522
2021-01-20,99940.1113260943,-0.0005988867390570522
2021-01-21,99940.1113260943,-0.0005988867390570522
2021-01-22,99937.38609811426,-0.0006261390188573568
2021-01-25,99933.62550851465,-0.0006637449148534506
2021-01-26,99933.3910724795,-0.0006660892752050131
2021-01-27,99934.4655658877,-0.0006553443411229818
2021-01-28,99939.32016488673,-0.0006067983511327475
2021-01-29,99944.33105966212,-0.0005566894033788413
2021-02-01,99942.58262434824,-0.0005741737565175572
2021-02-02,99942.58262434824,-0.0005741737565175572
2021-02-03,99942.58262434824,-0.0005741737565175572
2021-02-04,99942.58262434824,-0.0005741737565175572
2021-02-05,99942.58262434824,-0.0005741737565175572
2021-02-08,99942.58262434824,-0.0005741737565175572
2021-02-09,99942.58262434824,-0.0005741737565175572
2021-02-10,99942.58262434824,-0.0005741737565175572
2021-02-11,99942.58262434824,-0.0005741737565175572
2021-02-12,99942.58262434824,-0.0005741737565175572
2021-02-16,99942.58262434824,-0.0005741737565175572
2021-02-17,99942.58262434824,-0.0005741737565175572
2021-02-18,99943.08153655264,-0.0005691846344736404
2021-02-19,99943.23806884023,-0.0005676193115976639
2021-02-22,99939.45227935049,-0.0006054772064951248
2021-02-23,99939.31532408926,-0.0006068467591074296
2021-02-24,99938.81639983389,-0.0006118360016611405
2021-02-25,99934.55127837393,-0.0006544872162607498
2021-02-26,99934.8154080126,-0.0006518459198740311
2021-03-01,99941.20332457754,-0.000587966754224617
2021-03-02,99938.59143950674,-0.0006140856049326248
2021-03-03,99935.59800841543,-0.0006440199158457108
2021-03-04,99933.71000029775,-0.0006628999970224686
2021-03-05,99934.9719250414,-0.0006502807495859451
2021-03-08,99930.02202727529,-0.000699779727247078
2021-03-09,99934.6491024706,-0.0006535089752939529
